Title;Date;Price (€);Product Name
Hofer vikend akcija do 24.5.;24.05.2025.;3.49;"Hofer vikend akcija Fenomenalni vikend velja v petek 23.05. in sobotu 24.05.2025 v vseh trgovinah Hofer v Sloveniji.
Ta vikend samo v petek in sobotu v trgovinah Hofer akcija naslednjih sveži znižani izdelkov :
    Piščančja bedra brez kosti (s kožo)"
Hofer vikend akcija do 24.5.;24.05.2025.;6.49;Goveje mleto meso (koščki, 1 kg)
Hofer vikend akcija do 24.5.;24.05.2025.;3.29;Piščančji medaljoni (400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;4.49;Piščančji ražnjiči XXL (450 g + 150 g gratis)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Piščančji mini file XXL (610 g + 390 g gratis)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Čevapčiči (Celjske mesnine, 1100 g)
Hofer vikend akcija do 24.5.;24.05.2025.;8.49;Slovenska postrv (šarenka)
Hofer vikend akcija do 24.5.;24.05.2025.;4.99;Losos za žar (korzika / toskana / s poprom, 250 g)
Hofer vikend akcija do 24.5.;24.05.2025.;3.99;Burger z Angus govedino (Celjske mesnine, 400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;3.19;Žar klobase (s sirom, Parvita, 400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;7.99;Dimljena panceta
Hofer vikend akcija do 24.5.;24.05.2025.;0.99;Piščančja posebna salama (200 g)
Hofer vikend akcija do 24.5.;24.05.2025.;1.59;Navadna klobasa (500 g)
Hofer vikend akcija do 24.5.;24.05.2025.;1.49;Veganski namaz MyVay (150 g)
Hofer vikend akcija do 24.5.;24.05.2025.;0.93;Coca-Cola / Sprite / Fanta Zero (1,5 l)
Hofer vikend akcija do 24.5.;24.05.2025.;2.69;Laški rizling (1 l)
Hofer vikend akcija do 24.5.;24.05.2025.;9.99;Prekajeni poltrdi sir Traunsteiner (Milfina)
Hofer vikend akcija do 24.5.;24.05.2025.;0.79;Puding Flecki (2 x 125 g)
Hofer vikend akcija do 24.5.;24.05.2025.;1.12;Premium sladoled Mucci (2,5 l)
Hofer vikend akcija do 24.5.;24.05.2025.;1.19;Babičin koruzni kruh (400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;2.19;Hrustljavi vaflji / rižoplatanke / tortice (400 g)
Hofer vikend akcija do 24.5.;24.05.2025.;0.99;Motovilec (125 g)
Hofer vikend akcija do 24.5.;24.05.2025.;3.99;Letalski ananas
Hofer vikend akcija do 24.5.;24.05.2025.;1.19;Smiling Bear (slani prigrizki, 150 g)
Lidl vikend akcija do 24.5.;24.05.2025.;0.49;"Lidl vikend akcija velja v petek 23.05. in sobotu 24.05.2025.
Ta konec tedna boste v trgovinah Lidl prihranili ob nakupu naslednjih izdelkov.
Super vikend v Lidlu, akcijske cene veljajo samo v petek in soboto so na voljo odlični izdelki po izjemnih cenah:
– Sveže jagnje v kosih 1kg"
Lidl vikend akcija do 24.5.;24.05.2025.;2.99;"Neživila:
– Crivit moške nogavice za pohodništvo, 2 para, namesto"
Eurospin vikend norih cen do 24.5.;24.05.2025.;0.19;"Izdelki v akciji:
– rumena čebula, pakirana 10kg"
Eurospin vikend norih cen do 24.5.;24.05.2025.;11.99;"Neverjetna ponudba od 23. maja 2025:
– mehanska osebna tehtnica"
Spar in Interspar vikend akcija do 24.5.;24.05.2025.;251.1;"Spar in Interspar vikend akcija velja v petek 23.05. in  sobotu 24.05.2025.
Super popusti za konec tedna v soboto:
– 30% ceneje mesni izdelki lastne priprave, 10% dodatni popust z vikend kuponom
– 30% ceneje semena, zemlja, gnojila in vse za vrt, 10% dodatni popust z vikend kuponom
– 40% ceneje oljčna olja Monini, 10% dodatni popust z vikend kuponom
– pralni stroj Candy, 30% ceneje"
Mercator vikend akcija do 24.5.;24.05.2025.;0.87;"Mercator vikend akcija velja v petek 23.05. in  sobota 24. 05. 2025 v vseh živilskih trgovinah Mercator v Sloveniji.
Ta konec tedna vas v trgovinah Mercator čaka naslednja akcija:
– piščančja bedra z dodano marinado PP Natur 1kg namesto"
Mercator vikend akcija do 24.5.;24.05.2025.;30.0;In petek 23.05. ali soboto 24.05. 25% popust na izdelek po izbiri ob nakupu preostalega dela košarice nad 5€ ali 10% popust na celoten nakup ob nakupu nad
Hofer vikend akcija do 17.5.;17.05.2025.;0.59;"Hofer vikend akcija Fenomenalni vikend velja v petek 09.05. in sobotu 10.05.2025 v vseh trgovinah Hofer v Sloveniji.
Ta vikend samo v petek in sobotu v trgovinah Hofer akcija naslednjih sveži znižani izdelkov :
– File zlatovčice (400 g)"
Lidl vikend akcija do 17.5.;17.05.2025.;0.34;"Lidl vikend akcija velja v petek 16.05. in sobotu 17.05.2025.
Ta konec tedna boste v trgovinah Lidl prihranili ob nakupu naslednjih izdelkov.
Super vikend v Lidlu, akcijske cene veljajo samo v petek in soboto so na voljo odlični izdelki po izjemnih cenah:
– sveže pleskavice 450g, namesto"
Lidl vikend akcija do 17.5.;17.05.2025.;7.69;"Neživila:
– čevlji za malčke, namesto"
Mercator vikend akcija do 17.5.;17.05.2025.;2.39;"Mercator vikend akcija velja v petek 16.05. in  sobota 17. 05. 2025 v vseh živilskih trgovinah Mercator v Sloveniji.
Ta konec tedna vas v trgovinah Mercator čaka naslednja akcija:
– mleto mešano meso 450g, namesto"
Mercator vikend akcija do 17.5.;17.05.2025.;30.0;In petek 16.05. ali soboto 17.05. 25% popust na izdelek po izbiri ob nakupu preostalega dela košarice nad 5€ ali 10% popust na celoten nakup ob nakupu nad
Eurospin vikend norih cen do 17.5.;17.05.2025.;0.89;"Izdelki v akciji:
– banane 1kg"
Eurospin vikend norih cen do 17.5.;17.05.2025.;29.99;"Neverjetna ponudba od 16. maja 2025:
– 27,5 palčno gorsko kolo"
Spar in Interspar vikend akcija do 17.5.;17.05.2025.;;
Hofer vikend akcija do 10.5.;10.05.2025.;2.19;"Hofer vikend akcija Fenomenalni vikend velja v petek 09.05. in sobotu 10.05.2025 v vseh trgovinah Hofer v Sloveniji.
Ta vikend samo v petek in sobotu v trgovinah Hofer akcija naslednjih sveži znižani izdelkov :
File soma (300 g)"
Hofer vikend akcija do 10.5.;10.05.2025.;1.99;Piščančje mleto meso (400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;2.99;Piščančje krače (1 kg)
Hofer vikend akcija do 10.5.;10.05.2025.;7.99;Teletina za pod peko (na kg)
Hofer vikend akcija do 10.5.;10.05.2025.;2.99;Svinjski laks kare zrezki (380 g + 120 g gratis)
Hofer vikend akcija do 10.5.;10.05.2025.;3.99;Začinjeni piščančji zrezki (tahito pikantni, 400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;2.99;Sveži piščanec (z obema dodatnima bedroma)
Hofer vikend akcija do 10.5.;10.05.2025.;4.79;Svinjsko pleče v kosu (na kg)
Hofer vikend akcija do 10.5.;10.05.2025.;4.29;Očiščeni lignji (500 g)
Hofer vikend akcija do 10.5.;10.05.2025.;2.49;Svinjski kare s kostjo (500 g)
Hofer vikend akcija do 10.5.;10.05.2025.;4.29;Prekmurska gibanica (550 g)
Hofer vikend akcija do 10.5.;10.05.2025.;2.79;Piščančje prsi v ovitku (400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;8.99;Originalni italijanski pršut (na kg)
Hofer vikend akcija do 10.5.;10.05.2025.;5.29;Prekajena svinjska rebra
Hofer vikend akcija do 10.5.;10.05.2025.;2.19;Granny’s džem (marelica ali jagoda, 400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;1.99;Safalada (450 g)
Hofer vikend akcija do 10.5.;10.05.2025.;5.99;Mamia plenice (vel. 5, 44 kosov)
Hofer vikend akcija do 10.5.;10.05.2025.;0.69;Mozzarella (navadna ali lahka, 125 g)
Hofer vikend akcija do 10.5.;10.05.2025.;1.49;Arašidi praženi v lupini (400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;0.69;Bela štruca (500 g)
Hofer vikend akcija do 10.5.;10.05.2025.;1.49;Maline (125 g)
Hofer vikend akcija do 10.5.;10.05.2025.;2.29;Rozine v mlečni/temni čokoladi (400 g)
Hofer vikend akcija do 10.5.;10.05.2025.;0.25;Flying Power energijska pijača (0,25 l)
Hofer vikend akcija do 10.5.;10.05.2025.;1.89;Slovenski paradižnik miks Lušt (200 g)
Lidl vikend akcija do 10.5.;10.05.2025.;0.85;"Lidl vikend akcija velja v petek 09.05. in sobotu 10.05.2025.
Ta konec tedna boste v trgovinah Lidl prihranili ob nakupu naslednjih izdelkov.
Super vikend v Lidlu, akcijske cene veljajo samo v petek in soboto so na voljo odlični izdelki po izjemnih cenah:
– piščančji prsni fileji 500g, namesto"
Lidl vikend akcija do 10.5.;10.05.2025.;1.99;"Neživila:
– moške delovne nogavice, 2 para namesto"
Eurospin vikend norih cen do 10.5.;10.05.2025.;0.79;"Izdelki v akciji:
– jagode pakirane 500g"
Eurospin vikend norih cen do 10.5.;10.05.2025.;5.99;"Neverjetna ponudba od 09. maja 2025:
– dvostranska kolesarska torba"
Spar in Interspar vikend akcija do 10.5.;10.05.2025.;1.52;"Spar in Interspar vikend akcija velja v petek 09.05. in  sobotu 10.05.2025.
Super popusti za konec tedna v soboto:
– atlantski losos file, rena cena"
Mercator vikend akcija do 10.5.;10.05.2025.;;
Hofer fenomenalni vikend 3.5.;03.05.2025.;2.69;"Hofer vikend akcija Fenomenalni vikend velja v sobotu 03.05.2025 v vseh trgovinah Hofer v Sloveniji.
Ta vikend samo v petek in sobotu v trgovinah Hofer akcija naslednjih sveži znižani izdelkov :
1. Mleto mešano meso
    Okus podeželja, 500 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;3.49;"2. Piščančji file in stegna brez kosti in kože
    Okus podeželja, Pivka, 500 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;3.49;"3. Klobasa s sirom BBQ, 360 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;5.49;"4. File norveškega lososa
    Gourmet Finest Cuisine, 300 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;0.99;"5. Medena melona
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.49;"6. Toskanski kruh Backbox, 360 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;0.99;"7. Šampinjoni za žar 400 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;6.99;"8. Odojek BBQ, Celjske mesnine
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;3.19;"9. Svinjski steaki
    BBQ, kare ali vrat, Celjske mesnine
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.29;"11. Mortadela Bologna (Regione Che Vai)
    Količina: 150 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.59;"12. Korneti (Mucci)
    Okusi: jagoda ali lešnik
    Količina: 6 × 120 ml
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;0.99;"13. Tortilla čips (Snack Fun)
    Okusi: klasičen ali sirni
    Količina: 300 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.39;"14. Premium grisini (Snack Fun)
    Okusi: z bučnimi semeni ali s čemažem
    Količina: 170 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.09;"15. Italijanski kis (Castello)
    Vrsti: Aceto Balsamico ali Condimento Bianco
    Količina: 0,5 l
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;0.89;"16. Koruzni storžki (King’s Crown)
    Neto količina: 340 g oz. 370 ml
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;1.79;"17. Sirov narezek (Milsani)
    Količina: 250 g
    Cena:"
Hofer fenomenalni vikend 3.5.;03.05.2025.;0.75;"18. Navadni domači jogurt (Milfina)
    Količina: 500 ml
    Cena:"
